show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,date_added_year,date_added_month,date_added_day,release_year_year,release_year_month,release_year_day,content_age,duration_category
S1,Movie,Dick Johnson Is Dead,Kirsten Johnson,United States,2021-09-25,1970-01-01 00:00:00.000002020,Pg-13,90 Min,Documentaries,2021,9,25,1970,1,1,56,Medium
S3,Tv Show,Ganglands,Julien Leclercq,France,2021-09-24,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"Crime Tv Shows, International Tv Shows, Tv Action & Adventure",2021,9,24,1970,1,1,56,Short
S6,Tv Show,Midnight Mass,Mike Flanagan,United States,2021-09-24,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"Tv Dramas, Tv Horror, Tv Mysteries",2021,9,24,1970,1,1,56,Short
S14,Movie,Confessions Of An Invisible Girl,Bruno Garotti,Brazil,2021-09-22,1970-01-01 00:00:00.000002021,Tv-Pg,91 Min,"Children & Family Movies, Comedies",2021,9,22,1970,1,1,56,Medium
S8,Movie,Sankofa,Haile Gerima,United States,2021-09-24,1970-01-01 00:00:00.000001993,Tv-Ma,125 Min,"Dramas, Independent Movies, International Movies",2021,9,24,1970,1,1,56,Long
S9,Tv Show,The Great British Baking Show,Andy Devonshire,United Kingdom,2021-09-24,1970-01-01 00:00:00.000002021,Tv-14,9 Seasons,"British Tv Shows, Reality Tv",2021,9,24,1970,1,1,56,Short
S10,Movie,The Starling,Theodore Melfi,United States,2021-09-24,1970-01-01 00:00:00.000002021,Pg-13,104 Min,"Comedies, Dramas",2021,9,24,1970,1,1,56,Medium
S939,Movie,Motu Patlu In The Game Of Zones,Suhas Kadav,India,2021-05-01,1970-01-01 00:00:00.000002019,Tv-Y7,87 Min,"Children & Family Movies, Comedies, Music & Musicals",2021,5,1,1970,1,1,56,Medium
S13,Movie,Je Suis Karl,Christian Schwochow,Germany,2021-09-23,1970-01-01 00:00:00.000002021,Tv-Ma,127 Min,"Dramas, International Movies",2021,9,23,1970,1,1,56,Long
S940,Movie,Motu Patlu In Wonderland,Suhas Kadav,India,2021-05-01,1970-01-01 00:00:00.000002013,Tv-Y7,76 Min,"Children & Family Movies, Music & Musicals",2021,5,1,1970,1,1,56,Medium
S941,Movie,Motu Patlu: Deep Sea Adventure,Suhas Kadav,India,2021-05-01,1970-01-01 00:00:00.000002014,Tv-Y7,76 Min,"Children & Family Movies, Comedies",2021,5,1,1970,1,1,56,Medium
S942,Movie,Motu Patlu: Mission Moon,Suhas Kadav,India,2021-05-01,1970-01-01 00:00:00.000002013,Tv-Y7,71 Min,"Children & Family Movies, Comedies",2021,5,1,1970,1,1,56,Medium
S852,Movie,99 Songs (Tamil),Not Given,Pakistan,2021-05-21,1970-01-01 00:00:00.000002021,Tv-14,131 Min,"Dramas, International Movies, Music & Musicals",2021,5,21,1970,1,1,56,Long
S471,Movie,Bridgerton - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-07-13,1970-01-01 00:00:00.000002021,Tv-14,39 Min,Movies,2021,7,13,1970,1,1,56,Short
S730,Movie,Bling Empire - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,1970-01-01 00:00:00.000002021,Tv-Ma,36 Min,Movies,2021,6,12,1970,1,1,56,Short
S731,Movie,Cobra Kai - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-06-12,1970-01-01 00:00:00.000002021,Tv-Ma,34 Min,Movies,2021,6,12,1970,1,1,56,Short
S913,Movie,The Circle - The Afterparty,"Krysia Plonka, Kristian Mercado",United States,2021-05-07,1970-01-01 00:00:00.000002021,Tv-14,35 Min,Comedies,2021,5,7,1970,1,1,56,Short
S4,Tv Show,Jailbirds New Orleans,Not Given,Pakistan,2021-09-24,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"Docuseries, Reality Tv",2021,9,24,1970,1,1,56,Short
S15,Tv Show,Crime Stories: India Detectives,Not Given,Pakistan,2021-09-22,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"British Tv Shows, Crime Tv Shows, Docuseries",2021,9,22,1970,1,1,56,Short
S3232,Movie,True: Winter Wishes,"Mark Thornton, Todd Kauffman",United States,2019-11-26,1970-01-01 00:00:00.000002019,Tv-Y,46 Min,Children & Family Movies,2019,11,26,1970,1,1,56,Short
S4832,Tv Show,True: Magical Friends,"Mark Thornton, Todd Kauffman",United States,2018-06-15,1970-01-01 00:00:00.000002018,Tv-Y,1 Season,Kids Tv,2018,6,15,1970,1,1,56,Short
S4833,Tv Show,True: Wonderful Wishes,"Mark Thornton, Todd Kauffman",United States,2018-06-15,1970-01-01 00:00:00.000002018,Tv-Y,1 Season,Kids Tv,2018,6,15,1970,1,1,56,Short
S4857,Tv Show,Dance & Sing With True,"Mark Thornton, Todd Kauffman",United States,2018-05-18,1970-01-01 00:00:00.000002018,Tv-Y,1 Season,Kids Tv,2018,5,18,1970,1,1,56,Short
S7,Movie,My Little Pony: A New Generation,"Robert Cullen, José Luis Ucha",Not Given,2021-09-24,1970-01-01 00:00:00.000002021,Pg,91 Min,Children & Family Movies,2021,9,24,1970,1,1,56,Medium
S12,Tv Show,Bangkok Breaking,Kongkiat Komesiri,Not Given,2021-09-23,1970-01-01 00:00:00.000002021,Tv-Ma,1 Season,"Crime Tv Shows, International Tv Shows, Tv Action & Adventure",2021,9,23,1970,1,1,56,Short
S17,Movie,Europes Most Dangerous Man: Otto Skorzeny In Spain,"Pedro De Echave García, Pablo Azorín Williams",Not Given,2021-09-22,1970-01-01 00:00:00.000002020,Tv-Ma,67 Min,"Documentaries, International Movies",2021,9,22,1970,1,1,56,Medium
S7930,Movie,Samudri Lootere,Anirban Majumder,Not Given,2019-06-18,1970-01-01 00:00:00.000002018,Tv-Y,65 Min,Children & Family Movies,2019,6,18,1970,1,1,56,Medium
S21,Tv Show,Monsters Inside: The 24 Faces Of Billy Milligan,Olivier Megaton,United States,2021-09-22,1970-01-01 00:00:00.000002021,Tv-14,1 Season,"Crime Tv Shows, Docuseries, International Tv Shows",2021,9,22,1970,1,1,56,Short
S24,Movie,Go! Go! Cory Carson: Chrissy Takes The Wheel,"Alex Woo, Stanley Moore",United States,2021-09-21,1970-01-01 00:00:00.000002021,Tv-Y,61 Min,Children & Family Movies,2021,9,21,1970,1,1,56,Medium
S25,Movie,Jeans,S. Shankar,India,2021-09-21,1970-01-01 00:00:00.000001998,Tv-14,166 Min,"Comedies, International Movies, Romantic Movies",2021,9,21,1970,1,1,56,Long
