title,listed_in,Similarity Score
S.W.A.T.,Action & Adventure,0.4119
Kung Fu Panda: Holiday,"Children & Family Movies, Comedies",0.4084
Nova: Killer Floods,Documentaries,0.3843
She Did That,Documentaries,0.3843
The Debt Collector 2,Action & Adventure,0.3837
Carrie Pilby,"Comedies, Dramas",0.3815
Alex Strangelove,"Comedies, Dramas, Independent Movies",0.3788
"Love, Guaranteed","Comedies, Independent Movies, Romantic Movies",0.372
Savage Dog,"Action & Adventure, Independent Movies",0.3647
To All The Boys I’Ve Loved Before,"Comedies, International Movies, Romantic Movies",0.3608
