title,Dick Johnson Is Dead,Ganglands,Midnight Mass,Confessions Of An Invisible Girl,Sankofa,The Great British Baking Show,The Starling,Motu Patlu In The Game Of Zones,Je Suis Karl,Motu Patlu In Wonderland,Motu Patlu: Deep Sea Adventure,Motu Patlu: Mission Moon,99 Songs (Tamil),Bridgerton - The Afterparty,Bling Empire - The Afterparty,Cobra Kai - The Afterparty,The Circle - The Afterparty,Jailbirds New Orleans,Crime Stories: India Detectives,True: Winter Wishes,True: Magical Friends,True: Wonderful Wishes,Dance & Sing With True,My Little Pony: A New Generation,Bangkok Breaking,Europes Most Dangerous Man: Otto Skorzeny In Spain,Samudri Lootere,Monsters Inside: The 24 Faces Of Billy Milligan,Go! Go! Cory Carson: Chrissy Takes The Wheel,Jeans,Grown Ups,Dark Skies,Paranoia,Jaguar,Chicago Party Aunt,Squid Game,Tayo And Little Wizards,The Worlds Most Amazing Vacation Rentals,Metal Shop Masters,Pokémon Master Journeys: The Series,Titipo Titipo,Mighty Raju,Tobot Galaxy Detectives,Hotel Del Luna,Brave Animated Series,How To Be A Cowboy,Oldsters,Bread Barbershop,Turning Point: 9/11 And The War On Terror,Hometown Cha-Cha-Cha
Dick Johnson Is Dead,1.0000000000000002,0.0,0.03866031456362116,0.058132659995525575,0.0584366082765524,0.01645005024059939,0.10441665441495178,0.02109774453413912,0.028663640784865503,0.02141812024786708,0.023344546822300243,0.023344546822300243,0.0344962236380916,0.05279248152404457,0.05239378305420838,0.05239378305420838,0.0525149890531585,0.0,0.0,0.055388558256959625,0.03657983228368805,0.03657983228368805,0.03657983228368805,0.05082441677109507,0.0,0.06022201175410415,0.02100502268228976,0.03701775401692818,0.05412398724741037,0.026363250277779735,0.11413301785596545,0.10024780770462674,0.12258947259953548,0.0,0.0,0.0,0.0,0.06576951528376475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06777182306554139,0.0,0.0,0.0,0.0
Ganglands,0.0,1.0,0.1966092132338498,0.03061008884939611,0.06003445653812747,0.16703547680186648,0.0,0.03264315560314245,0.08729931930355747,0.033138851920716444,0.03611948533987148,0.03611948533987148,0.0758547255652231,0.027552706129944322,0.04230886495706397,0.04230886495706397,0.027407881179821195,0.2201362747604956,0.4315176575099311,0.028907613822249267,0.11264539171917845,0.11264539171917845,0.11264539171917845,0.0,0.40505932524873983,0.04628186876702523,0.0324996931665378,0.3226805423445209,0.02824762678620345,0.05797089953405998,0.0,0.0,0.0,0.45818912427508374,0.28119327691611057,0.39880296188005404,0.2328155401875834,0.15749159961482342,0.24685454094671233,0.1736399491892567,0.2563514884683634,0.17229181233226706,0.17229181233226706,0.4257345589816579,0.5009270484333189,0.2115179006948819,0.46195549858126134,0.20451416213028906,0.18388338812397048,0.4257345589816579
Midnight Mass,0.03866031456362116,0.1966092132338498,1.0000000000000002,0.034272676323429785,0.10532576985411839,0.1428162576425029,0.05671164725896509,0.0365490055146941,0.10414795482685907,0.03710401335967344,0.040441288364529024,0.040441288364529024,0.09263689052802726,0.06129883419882538,0.0775906518077497,0.0775906518077497,0.060976629891067655,0.24647622975001318,0.23554135473849364,0.06431321186443881,0.1579613917190326,0.1579613917190326,0.1579613917190326,0.0,0.19138430258817513,0.040731494967042994,0.03638837737413191,0.1924946033764532,0.06284488292044521,0.04567078619369345,0.03980341570262226,0.11223874428856166,0.04275256915402324,0.2507984984803542,0.3148388824183549,0.3596421736608011,0.26067260670727926,0.17633593433246536,0.2763914153422141,0.1944164815940283,0.19720872766053715,0.1929070361831829,0.1929070361831829,0.282431484712559,0.31805897845638936,0.23682664179101423,0.2313416096520621,0.22898488523619953,0.20588557822996278,0.282431484712559
Confessions Of An Invisible Girl,0.058132659995525575,0.03061008884939611,0.034272676323429785,1.0000000000000002,0.05008086682134974,0.025837051598724153,0.08286185324158374,0.19793878565989953,0.0539452448388837,0.1726784606862938,0.21901825772464384,0.21901825772464384,0.06492222129563888,0.033514285902827484,0.03326117988997556,0.03326117988997556,0.0450480837724752,0.03335531927178356,0.03471287638016639,0.15063051275531075,0.01945698734180336,0.01945698734180336,0.01945698734180336,0.16276204295523122,0.029796622499250913,0.02859915474892506,0.1693479605811667,0.02625322666849379,0.14719148156225798,0.10177301553512987,0.0905724611518088,0.06603753297229914,0.06428609271856989,0.03904681879097743,0.09641613445917604,0.051596787111797306,0.0402137091386552,0.09300460113812316,0.03740370384629026,0.02999244125165164,0.03965245444728682,0.03878751998228847,0.03878751998228847,0.08444858437442121,0.08704174758106684,0.09583606242830339,0.0360175757256565,0.08965219248910855,0.02845075781835688,0.08444858437442121
Sankofa,0.0584366082765524,0.06003445653812747,0.10532576985411839,0.05008086682134974,1.0,0.040084234493411516,0.0753732920992228,0.05340714744190708,0.14809290941144254,0.05421815133628964,0.059094736505395165,0.059094736505395165,0.1454691695198685,0.07557906050052417,0.09179108415785348,0.09179108415785348,0.05193124725282038,0.06354524896633233,0.05824520610345031,0.07929567004030544,0.05127695223281016,0.05127695223281016,0.05127695223281016,0.037782028084169604,0.05843903450314751,0.0640047316457985,0.05317242995327732,0.07220205399221225,0.07748527799055113,0.12060796168406776,0.060164451265785214,0.07968156715320743,0.06462221439917498,0.07658110883612546,0.08117016065949914,0.12947715838482854,0.040066990848693904,0.03532623563709459,0.07125783008727243,0.02988301489465894,0.03950778387513903,0.03864600509282579,0.03864600509282579,0.06803004085045393,0.09711903936053116,0.036401718650947525,0.07063996433167162,0.045873656120116985,0.028346956238631427,0.06803004085045393
The Great British Baking Show,0.01645005024059939,0.16703547680186648,0.1428162576425029,0.025837051598724153,0.040084234493411516,1.0,0.015494610402687145,0.02755310184864792,0.03743396421453938,0.02797150414069842,0.030487366797173832,0.030487366797173832,0.04505116467573425,0.03621268022408476,0.035939195444108396,0.035939195444108396,0.03602233595871411,0.2704914375653763,0.31834664245465705,0.03799344320116555,0.08649720629937102,0.08649720629937102,0.08649720629937102,0.0,0.16259649133118373,0.01984567386124201,0.027432009538355385,0.16817709096470926,0.03712601844166455,0.03442971445547937,0.016936442329719865,0.014875986333883798,0.018191313713731675,0.21307367078993855,0.15974578629900915,0.2375047440493597,0.15077353654446832,0.36974995700059277,0.30332138455083824,0.11245086648241823,0.25995730994068755,0.23538008792741494,0.23538008792741494,0.26216655507670505,0.22793867226999376,0.29627684702808876,0.22729472557568167,0.2527070543106246,0.10667062217149412,0.26216655507670505
The Starling,0.10441665441495178,0.0,0.05671164725896509,0.08286185324158374,0.0753732920992228,0.015494610402687145,1.0,0.04984469670277047,0.056562862000019615,0.020174128585914476,0.05515290291520537,0.05515290291520537,0.06807248080618677,0.04972622705961563,0.04935068550394229,0.04935068550394229,0.07463025647718541,0.0,0.0,0.0521715203543876,0.034455229105168496,0.034455229105168496,0.034455229105168496,0.04787247001035436,0.0,0.014313466102392494,0.01978502425229234,0.03486771578722607,0.05098039723725939,0.062284772292545906,0.14057407410824918,0.09442528754551041,0.11546932013087167,0.0,0.05792396089208081,0.030556361051812513,0.0,0.0619495381953545,0.0,0.0,0.0,0.0,0.0,0.03918900495751466,0.04039238197696013,0.06383554939478092,0.0,0.046945271307388986,0.0,0.03918900495751466
Motu Patlu In The Game Of Zones,0.02109774453413912,0.03264315560314245,0.0365490055146941,0.19793878565989953,0.05340714744190708,0.02755310184864792,0.04984469670277047,1.0000000000000002,0.05752819045999073,0.9850418379381425,0.9037547267349465,0.9037547267349465,0.36882328379810714,0.03574024417363899,0.03547032731706706,0.03547032731706706,0.04804009604295268,0.035570719266396635,0.037018442863251434,0.16063511904996478,0.020749285259895296,0.020749285259895296,0.020749285259895296,0.14228669188335832,0.03177566028888975,0.030498658895788504,0.18059574591646174,0.027996918514044723,0.15696767362335348,0.1730684850511715,0.05448293369173363,0.03344087843728147,0.023330973696692375,0.041640237892570806,0.10281991977512606,0.05502375241703498,0.04288463098722861,0.0378104905653046,0.03988799022425571,0.031984484968755264,0.04228609877409218,0.04136371692585985,0.04136371692585985,0.09005750665286685,0.09282290307086999,0.03896160501650674,0.03840979798017695,0.095606729009628,0.030340405709415888,0.09005750665286685
Je Suis Karl,0.028663640784865503,0.08729931930355747,0.10414795482685907,0.0539452448388837,0.14809290941144254,0.03743396421453938,0.056562862000019615,0.05752819045999073,1.0,0.05840177365502251,0.063654649605902,0.063654649605902,0.17861406935412633,0.048557110874997714,0.0725951825563114,0.0725951825563114,0.031396947067798164,0.09240455064688977,0.08469747439617985,0.05094491273846467,0.02819021996735026,0.02819021996735026,0.02819021996735026,0.03843437824262905,0.08497933065558508,0.07857078933703243,0.05727536152160059,0.05806335299573896,0.04978179418545586,0.12506453381449906,0.02951116209448076,0.04543316587730703,0.03169773186517655,0.11136069281579156,0.11803387890809576,0.18827967211089522,0.058263557785542736,0.051369771669654944,0.10361982801854264,0.04345449279423367,0.057450384968526585,0.05619722627559473,0.05619722627559473,0.09892612677631275,0.141225997810194,0.052933689133824395,0.10272135632419702,0.06670734082032215,0.04122082761569782,0.09892612677631275
Motu Patlu In Wonderland,0.02141812024786708,0.033138851920716444,0.03710401335967344,0.1726784606862938,0.05421815133628964,0.02797150414069842,0.020174128585914476,0.9850418379381425,0.05840177365502251,1.0000000000000002,0.8841249249287135,0.8841249249287135,0.37442397834605307,0.03628297072990252,0.03600895510317858,0.03600895510317858,0.023460508480453807,0.03611087153501229,0.037580579258173694,0.16307441254089375,0.021064369512798598,0.021064369512798598,0.021064369512798598,0.14444735888699742,0.03225818342437266,0.03096179037392698,0.18333814764099665,0.028422060298115844,0.1593512758320126,0.13803000684001493,0.022051407326023384,0.03394868842046227,0.023685261679369907,0.042272557660830754,0.046126583682195604,0.05585930495318751,0.043535847245832066,0.03838465444721445,0.04049370157489754,0.03247017917097224,0.04292822613768781,0.041991837638532245,0.041991837638532245,0.052012295912183135,0.053609437806884826,0.039553248923984714,0.03899306252877047,0.04984523277515724,0.03080113406444081,0.052012295912183135
