release_year,Content_Count,MA_3,MA_5,Growth,Growth_Rate,Growth_Percentage
1925,1,,,,,
1942,2,,,1.0,1.0,100.0
1943,3,2.0,,1.0,0.5,50.0
1944,3,2.6666666666666665,,0.0,0.0,0.0
1945,4,3.3333333333333335,2.6,1.0,0.33333333333333326,33.33333333333333
1946,2,3.0,2.8,-2.0,-0.5,-50.0
1947,1,2.3333333333333335,2.6,-1.0,-0.5,-50.0
1954,2,1.6666666666666667,2.4,1.0,1.0,100.0
1955,3,2.0,2.4,1.0,0.5,50.0
1956,2,2.3333333333333335,2.0,-1.0,-0.33333333333333337,-33.333333333333336
1958,3,2.6666666666666665,2.2,1.0,0.5,50.0
1959,1,2.0,2.2,-2.0,-0.6666666666666667,-66.66666666666667
1960,4,2.6666666666666665,2.6,3.0,3.0,300.0
1961,1,2.0,2.2,-3.0,-0.75,-75.0
1962,3,2.6666666666666665,2.4,2.0,2.0,200.0
1963,2,2.0,2.2,-1.0,-0.33333333333333337,-33.333333333333336
1964,2,2.3333333333333335,2.4,0.0,0.0,0.0
1965,2,2.0,2.0,0.0,0.0,0.0
1966,1,1.6666666666666667,2.0,-1.0,-0.5,-50.0
1967,5,2.6666666666666665,2.4,4.0,4.0,400.0
1968,3,3.0,2.6,-2.0,-0.4,-40.0
1969,2,3.3333333333333335,2.6,-1.0,-0.33333333333333337,-33.333333333333336
1970,2,2.3333333333333335,2.6,0.0,0.0,0.0
1971,5,3.0,3.4,3.0,1.5,150.0
1972,5,4.0,3.4,0.0,0.0,0.0
1973,10,6.666666666666667,4.8,5.0,1.0,100.0
1974,7,7.333333333333333,5.8,-3.0,-0.30000000000000004,-30.000000000000004
1975,7,8.0,6.8,0.0,0.0,0.0
1976,9,7.666666666666667,7.6,2.0,0.2857142857142858,28.57142857142858
1977,7,7.666666666666667,8.0,-2.0,-0.2222222222222222,-22.22222222222222
1978,7,7.666666666666667,7.4,0.0,0.0,0.0
1979,11,8.333333333333334,8.2,4.0,0.5714285714285714,57.14285714285714
1980,11,9.666666666666666,9.0,0.0,0.0,0.0
1981,13,11.666666666666666,9.8,2.0,0.18181818181818188,18.181818181818187
1982,17,13.666666666666666,11.8,4.0,0.3076923076923077,30.76923076923077
1983,11,13.666666666666666,12.6,-6.0,-0.3529411764705882,-35.29411764705882
1984,12,13.333333333333334,12.8,1.0,0.09090909090909083,9.090909090909083
1985,10,11.0,12.6,-2.0,-0.16666666666666663,-16.666666666666664
1986,13,11.666666666666666,12.6,3.0,0.30000000000000004,30.000000000000004
1987,8,10.333333333333334,10.8,-5.0,-0.3846153846153846,-38.46153846153846
1988,18,13.0,12.2,10.0,1.25,125.0
1989,16,14.0,13.0,-2.0,-0.11111111111111116,-11.111111111111116
1990,22,18.666666666666668,15.4,6.0,0.375,37.5
1991,17,18.333333333333332,16.2,-5.0,-0.2272727272727273,-22.72727272727273
1992,23,20.666666666666668,19.2,6.0,0.3529411764705883,35.29411764705883
1993,28,22.666666666666668,21.2,5.0,0.21739130434782616,21.739130434782616
1994,22,24.333333333333332,22.4,-6.0,-0.2142857142857143,-21.42857142857143
1995,25,25.0,23.0,3.0,0.13636363636363646,13.636363636363647
1996,24,23.666666666666668,24.4,-1.0,-0.040000000000000036,-4.0000000000000036
1997,38,29.0,27.4,14.0,0.5833333333333333,58.33333333333333
1998,36,32.666666666666664,29.0,-2.0,-0.052631578947368474,-5.263157894736848
1999,39,37.666666666666664,32.4,3.0,0.08333333333333326,8.333333333333325
2000,37,37.333333333333336,34.8,-2.0,-0.05128205128205132,-5.128205128205132
2001,45,40.333333333333336,39.0,8.0,0.21621621621621623,21.62162162162162
2002,51,44.333333333333336,41.6,6.0,0.1333333333333333,13.33333333333333
2003,59,51.666666666666664,46.2,8.0,0.15686274509803932,15.686274509803933
2004,64,58.0,51.2,5.0,0.0847457627118644,8.47457627118644
2005,80,67.66666666666667,59.8,16.0,0.25,25.0
2006,96,80.0,70.0,16.0,0.19999999999999996,19.999999999999996
2007,88,88.0,77.4,-8.0,-0.08333333333333337,-8.333333333333337
2008,135,106.33333333333333,92.6,47.0,0.5340909090909092,53.40909090909092
2009,152,125.0,110.2,17.0,0.125925925925926,12.592592592592599
2010,192,159.66666666666666,132.6,40.0,0.26315789473684204,26.315789473684205
2011,185,176.33333333333334,150.4,-7.0,-0.03645833333333337,-3.645833333333337
2012,236,204.33333333333334,180.0,51.0,0.27567567567567575,27.567567567567576
2013,286,235.66666666666666,210.2,50.0,0.21186440677966112,21.18644067796611
2014,352,291.3333333333333,250.2,66.0,0.23076923076923084,23.076923076923084
2015,555,397.6666666666667,322.8,203.0,0.5767045454545454,57.67045454545454
2016,901,602.6666666666666,466.0,346.0,0.6234234234234235,62.34234234234235
2017,1030,828.6666666666666,624.8,129.0,0.14317425083240853,14.317425083240853
2018,1146,1025.6666666666667,796.8,116.0,0.11262135922330097,11.262135922330096
2019,1030,1068.6666666666667,932.4,-116.0,-0.10122164048865623,-10.122164048865622
2020,953,1043.0,1012.0,-77.0,-0.074757281553398,-7.4757281553398
2021,592,858.3333333333334,950.2,-361.0,-0.37880377754459604,-37.8803777544596
